sweep,sweepTime,elevAngle,value,radialAng,surfaceRan,heightRel,heightASL,latitude,longitude
0,2003-03-27T05:47:11Z,0.48339844,8.0,99.228516,37998.555,414.23672,616.3191,41.5487,-87.6351
0,2003-03-27T05:47:11Z,0.48339844,4.5,99.228516,38998.516,427.66702,629.74945,41.5472,-87.6233
0,2003-03-27T05:47:11Z,0.48339844,6.0,99.228516,39998.477,441.22705,643.30945,41.5457,-87.6115
0,2003-03-27T05:47:11Z,0.48339844,6.0,99.228516,40998.44,454.91678,656.9992,41.5442,-87.5996
0,2003-03-27T05:47:11Z,0.48339844,7.5,99.228516,41998.402,468.73624,670.8186,41.5427,-87.5878
0,2003-03-27T05:47:11Z,0.48339844,6.5,99.228516,42998.363,482.6854,684.76776,41.5412,-87.5760
0,2003-03-27T05:47:11Z,0.48339844,6.5,99.228516,43998.324,496.76425,698.8467,41.5397,-87.5642
0,2003-03-27T05:47:11Z,0.48339844,9.5,99.228516,44998.29,510.97284,713.05524,41.5382,-87.5524
0,2003-03-27T05:47:11Z,0.48339844,3.0,100.19531,29998.86,311.46378,513.54614,41.5561,-87.7307
0,2003-03-27T05:47:11Z,0.48339844,9.5,100.19531,30998.82,323.8564,525.9388,41.5545,-87.7190
0,2003-03-27T05:47:11Z,0.48339844,8.0,100.19531,31998.783,336.37875,538.4611,41.5528,-87.7072
0,2003-03-27T05:47:11Z,0.48339844,5.0,100.19531,32998.746,349.0308,551.1132,41.5512,-87.6954
0,2003-03-27T05:47:11Z,0.48339844,10.5,100.19531,33998.707,361.81256,563.89496,41.5496,-87.6836
0,2003-03-27T05:47:11Z,0.48339844,7.0,100.19531,34998.668,374.72403,576.80646,41.5479,-87.6718
0,2003-03-27T05:47:11Z,0.48339844,8.0,100.19531,35998.63,387.76523,589.8476,41.5463,-87.6600
0,2003-03-27T05:47:11Z,0.48339844,10.0,100.19531,36998.594,400.9361,603.0185,41.5447,-87.6482
0,2003-03-27T05:47:11Z,0.48339844,6.5,100.19531,37998.555,414.23672,616.3191,41.5430,-87.6364
0,2003-03-27T05:47:11Z,0.48339844,7.5,100.19531,38998.516,427.66702,629.74945,41.5414,-87.6247
0,2003-03-27T05:47:11Z,0.48339844,8.5,100.19531,39998.477,441.22705,643.30945,41.5397,-87.6129
0,2003-03-27T05:47:11Z,0.48339844,6.5,100.19531,40998.44,454.91678,656.9992,41.5381,-87.6011
0,2003-03-27T05:47:11Z,0.48339844,4.5,100.19531,41998.402,468.73624,670.8186,41.5364,-87.5893
0,2003-03-27T05:47:11Z,0.48339844,10.0,100.19531,42998.363,482.6854,684.76776,41.5348,-87.5775
0,2003-03-27T05:47:11Z,0.48339844,9.5,100.19531,43998.324,496.76425,698.8467,41.5332,-87.5657
0,2003-03-27T05:47:11Z,0.48339844,5.5,100.19531,44998.29,510.97284,713.05524,41.5315,-87.5540
0,2003-03-27T05:47:11Z,0.48339844,5.0,101.16211,29998.86,311.46378,513.54614,41.5516,-87.7319
0,2003-03-27T05:47:11Z,0.48339844,7.5,101.16211,30998.82,323.8564,525.9388,41.5498,-87.7201
0,2003-03-27T05:47:11Z,0.48339844,6.0,101.16211,31998.783,336.37875,538.4611,41.5481,-87.7084
0,2003-03-27T05:47:11Z,0.48339844,5.0,101.16211,32998.746,349.0308,551.1132,41.5463,-87.6966
0,2003-03-27T05:47:11Z,0.48339844,5.5,101.16211,33998.707,361.81256,563.89496,41.5445,-87.6849
0,2003-03-27T05:47:11Z,0.48339844,7.5,101.16211,34998.668,374.72403,576.80646,41.5427,-87.6732
0,2003-03-27T05:47:11Z,0.48339844,6.5,101.16211,35998.63,387.76523,589.8476,41.5409,-87.6614
0,2003-03-27T05:47:11Z,0.48339844,6.0,101.16211,36998.594,400.9361,603.0185,41.5391,-87.6497
