sweep,sweepTime,elevAngle,value,radialAng,begGateRan,endGateRan,heightRel,heightASL,geom,a,b,c,d
5,2012-04-22T14:50:25Z,3.515625,0.5,64.50073,75857.19,76106.72,4999.2715,5008.415,POLYGON ((-120.89176871138588 38.79808526816572, -120.88917614861217 38.79905346816431, -120.88271158064046 38.78821465579275, -120.88532503328489 38.787282134573516, -120.89176871138588 38.79808526816572))
5,2012-04-22T14:50:25Z,3.515625,-4,64.50073,76106.72,76356.25,5016.8345,5025.9785,POLYGON ((-120.88917614861217 38.79905346816431, -120.88658351612688 38.8000216109601, -120.8800980603228 38.78914711887886, -120.88271158064046 38.78821465579275, -120.88917614861217 38.79905346816431))
5,2012-04-22T14:50:25Z,3.515625,0,64.50073,76356.25,76605.78,5034.4053,5043.5493,POLYGON ((-120.88658351612688 38.8000216109601, -120.88399081393149 38.8009896965511, -120.87748447233356 38.79007952382992, -120.8800980603228 38.78914711887886, -120.88658351612688 38.8000216109601))
5,2012-04-22T14:50:25Z,3.515625,-2,64.50073,76605.78,76855.31,5051.9834,5061.1274,POLYGON ((-120.88399081393149 38.8009896965511, -120.88139804202721 38.80195772493526, -120.87487081667433 38.791011870643885, -120.87748447233356 38.79007952382992, -120.88399081393149 38.8009896965511))
5,2012-04-22T14:50:25Z,3.515625,0.5,64.50073,76855.31,77104.84,5069.569,5078.713,POLYGON ((-120.88139804202721 38.80195772493526, -120.87880520041537 38.802925696110634, -120.87225709334669 38.79194415931885, -120.87487081667433 38.791011870643885, -120.88139804202721 38.80195772493526))
5,2012-04-22T14:50:25Z,3.515625,4,64.50073,77104.84,77354.375,5087.1616,5096.3057,POLYGON ((-120.87880520041537 38.802925696110634, -120.87621228909725 38.80389361007515, -120.86964330235222 38.79287638985268, -120.87225709334669 38.79194415931885, -120.87880520041537 38.802925696110634))
5,2012-04-22T14:50:25Z,3.515625,-3,64.50073,77354.375,77603.91,5104.7617,5113.906,POLYGON ((-120.87621228909725 38.80389361007515, -120.87361930807423 38.8048614668268, -120.86702944369249 38.7938085622435, -120.86964330235222 38.79287638985268, -120.87621228909725 38.80389361007515))
5,2012-04-22T14:50:25Z,3.515625,-2.5,64.50073,77603.91,77853.43,5122.369,5131.5127,POLYGON ((-120.87361930807423 38.8048614668268, -120.87102625734748 38.80582926636362, -120.86441551736907 38.7947406764893, -120.86702944369249 38.7938085622435, -120.87361930807423 38.8048614668268))
5,2012-04-22T14:50:25Z,3.515625,-0.5,64.50073,77853.43,78102.96,5139.9834,5149.1274,POLYGON ((-120.87102625734748 38.80582926636362, -120.8684331369184 38.806797008683446, -120.86180152338359 38.79567273258804, -120.86441551736907 38.7947406764893, -120.87102625734748 38.80582926636362))
5,2012-04-22T14:50:25Z,3.515625,-2,64.50073,78102.96,78352.49,5157.6055,5166.7495,POLYGON ((-120.8684331369184 38.806797008683446, -120.8658399467883 38.807764693784506, -120.85918746173765 38.796604730537744, -120.86180152338359 38.79567273258804, -120.8684331369184 38.806797008683446))
5,2012-04-22T14:50:25Z,3.515625,-5.5,64.50073,78352.49,78602.02,5175.235,5184.379,POLYGON ((-120.8658399467883 38.807764693784506, -120.8632466869584 38.80873232166464, -120.85657333243283 38.797536670336456, -120.85918746173765 38.796604730537744, -120.8658399467883 38.807764693784506))
5,2012-04-22T14:50:25Z,3.515625,0,64.50073,78602.02,78851.555,5192.8716,5202.0156,POLYGON ((-120.8632466869584 38.80873232166464, -120.86065335743015 38.8096998923218, -120.85395913547063 38.798468551982126, -120.85657333243283 38.797536670336456, -120.8632466869584 38.80873232166464))
5,2012-04-22T14:50:25Z,3.515625,-3.5,69.53247,85089.81,85339.34,5654.0005,5663.1445,POLYGON ((-120.76231680661148 38.77197442761747, -120.7596253523769 38.772758246325516, -120.75369643535497 38.75993943989137, -120.75640480940567 38.759193237879884, -120.76231680661148 38.77197442761747))
5,2012-04-22T14:50:25Z,3.515625,-3,69.53247,85339.34,85588.87,5671.8354,5680.9795,POLYGON ((-120.7596253523769 38.772758246325516, -120.75693383957609 38.77354200338918, -120.75098800520844 38.7606855794736, -120.75369643535497 38.75993943989137, -120.7596253523769 38.772758246325516))
5,2012-04-22T14:50:25Z,3.515625,2,69.53247,87834.64,88084.17,5850.586,5859.73,POLYGON ((-120.73270758933023 38.78059304265887, -120.73001549101468 38.781376183176775, -120.72390061911815 38.76814354129229, -120.7266096100613 38.76739802610134, -120.73270758933023 38.78059304265887))
5,2012-04-22T14:50:25Z,3.515625,-4,69.53247,88084.17,88333.7,5868.5015,5877.6455,POLYGON ((-120.73001549101468 38.781376183176775, -120.7273233341625 38.78215926203002, -120.72119157211152 38.76888899403424, -120.72390061911815 38.76814354129229, -120.73001549101468 38.781376183176775))
5,2012-04-22T14:50:25Z,3.515625,-5,69.53247,88333.7,88583.234,5886.424,5895.568,POLYGON ((-120.7273233341625 38.78215926203002, -120.7246311187764 38.782942279216535, -120.71848246904442 38.7696343843254, -120.72119157211152 38.76888899403424, -120.7273233341625 38.78215926203002))
